id,nombre,categoria,imagen
prod-00643,BETADUO 2ML AMPOLLA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00642,ELECTROLIT SABOR MORA AZUL,Bebidas,imagenesmedimentos/electrolit.png
prod-00641,ELECTROLIT SABOR MANZANA,Bebidas,imagenesmedimentos/electrolit.png
prod-00639,ELECTROLIT SABOR FRESA,Bebidas,imagenesmedimentos/electrolit.png
prod-00638,FOSFOGEN COMPLEJO B X30 CAPSUL,Vitaminas,imagenesmedimentos/genericas/vitaminas.svg
prod-00637,COMPLEJO B +ZINC + VITAMINA D3,Vitaminas,imagenesmedimentos/genericas/vitaminas.svg
prod-00636,ACTIVIT B COMPLEJO B,Vitaminas,imagenesmedimentos/genericas/vitaminas.svg
prod-00634,BISACODILO 10 TABLETAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00631,TAPABOCAS INDIVIDUAL,Otros,imagenesmedimentos/genericas/otros.svg
prod-00630,ALCOHOL OSA X345ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00629,ALCOHOL OSA X120ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00628,NEXT GRIPA GEL,Antigripales,imagenesmedimentos/genericas/antigripales.svg
prod-00627,GENOPRAZOL 20MG 14 CAPSULAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00626,LIMA DELGADA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00625,REMOVEDOR LANDER TRADICIONAL 3,Otros,imagenesmedimentos/genericas/otros.svg
prod-00614,LIBELLE 2 TABL NOVAMED,Otros,imagenesmedimentos/genericas/otros.svg
prod-00612,GLUCERNA 237ML VAINILLA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00608,SERVICIO GLUCOMETRIA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00604,GOTERO DE VIDRIO,Otros,imagenesmedimentos/genericas/otros.svg
prod-00602,GUANTES QUIRURGICOS ESTERIL,Otros,imagenesmedimentos/genericas/otros.svg
prod-00594,PRESTOBARBA GILLETTE AZUL,Cuidado personal,imagenesmedimentos/desoderantegillette82gx2.png
prod-00592,DOLORSIN FEM,Otros,imagenesmedimentos/genericas/otros.svg
prod-00590,OMEPRAZOL 20MG 30 CAPSULAS LA ,Otros,imagenesmedimentos/omeprazol.png
prod-00584,TERMOMETRO DIGITAL INFANTIL,Otros,imagenesmedimentos/genericas/otros.svg
prod-00582,SULZINC 30 TABLETAS HUMA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00579,TERMOMETRO DIGITAL TERMOCARE,Otros,imagenesmedimentos/genericas/otros.svg
prod-00576,COLONIA ARRURRU ROSADO 120ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00575,COLONIA ARRURRU AZUL 120ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00570,CHUPO REPUESTO AVENTS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00557,SHAMPOO SAVITAL 510ML ELIXIR D,Cuidado personal,imagenesmedimentos/genericas/cuidado-personal.svg
prod-00553,IBUFLASH MIGRAN MK,Otros,imagenesmedimentos/genericas/otros.svg
prod-00552,IBUFLASH 400MG CAPSULAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00544,ESPADARADRAPO SUPREME 3X5,Otros,imagenesmedimentos/genericas/otros.svg
prod-00543,MICROPORE SUPREME 2X5,Otros,imagenesmedimentos/genericas/otros.svg
prod-00542,MICROPORE SUPREME 1X5,Otros,imagenesmedimentos/genericas/otros.svg
prod-00538,DESODORANTE GILLETTE 82G GEL,Cuidado personal,imagenesmedimentos/desoderantegillette82gx2.png
prod-00535,BUSCAPINA SIMPLE,Analgésicos,imagenesmedimentos/buscapnacompositum.jpg
prod-00532,APOSITO OCULAR INFANTIL,Otros,imagenesmedimentos/genericas/otros.svg
prod-00531,APOSITO OCULAR ADULTO,Otros,imagenesmedimentos/genericas/otros.svg
prod-00527,CETIRIZINA JARABE 60ML ECAR,Otros,imagenesmedimentos/genericas/otros.svg
prod-00512,HIOSCINA N BUTILBROMURO SANFER,Otros,imagenesmedimentos/buscapnacompositum.jpg
prod-00510,IBUPROFENO SUSPENSION KIDS AG ,Antiinflamatorios,imagenesmedimentos/Ibuprofeno800mg.png
prod-00508,CETIRIZINA JARABE 60ML AG,Otros,imagenesmedimentos/genericas/otros.svg
prod-00497,COREGA TABS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00487,SECNIDAZOL 500MG COASHPHARMA 4,Otros,imagenesmedimentos/genericas/otros.svg
prod-00486,NITAZOXANIDA 500MG COASPHARMA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00485,LORATADINA 10MG COASPHARMA,Antigripales,imagenesmedimentos/loratadina10mg.png
prod-00469,GEL LUBRICANTE HOT CALIENTE PI,Otros,imagenesmedimentos/genericas/otros.svg
prod-00468,MICROPORE PIEL 1/2 PUL NEXCARE,Otros,imagenesmedimentos/genericas/otros.svg
prod-00466,AMLODIPINO 10MG LA SANTE,Otros,imagenesmedimentos/genericas/otros.svg
prod-00461,MEGA MAX ENERGY SOBRE,Otros,imagenesmedimentos/genericas/otros.svg
prod-00459,ELECTROLIT SABOR A COCO,Bebidas,imagenesmedimentos/electrolit.png
prod-00458,"VITACEREBRINA 1000ML OMEGA 3,6",Vitaminas,imagenesmedimentos/vitac500mg.jpg
prod-00455,PAÑALES WINNY ETAPA 6 PANTS,Bebés,imagenesmedimentos/pañaleshuggies.jpg
prod-00453,SILDENAFIL 50MG RC,Otros,imagenesmedimentos/genericas/otros.svg
prod-00451,PRESERVATIVO DUREX CLASICO 3 U,Otros,imagenesmedimentos/genericas/otros.svg
prod-00449,SHAMPO HEAD & SHOULDERS 375ML ,Otros,imagenesmedimentos/genericas/otros.svg
prod-00448,AGUA MICELAR POND ELOE FRUITY ,Bebidas,imagenesmedimentos/genericas/bebidas.svg
prod-00441,METRONIDAZOL 500MG OVULOS COLM,Otros,imagenesmedimentos/genericas/otros.svg
prod-00440,CRONOFEN 500MG,Otros,imagenesmedimentos/genericas/otros.svg
prod-00439,PEDIAZINC SOLUCION ORAL 120ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00421,ACETAMINOFEN 500MG AG,Analgésicos,imagenesmedimentos/Acetaminofen500mg.png
prod-00419,NOXPIRIN PLUS CAPSULAS,Analgésicos,imagenesmedimentos/nospirina.jpg
prod-00417,TRIMEBUTINA 200MG LA SANTE,Otros,imagenesmedimentos/genericas/otros.svg
prod-00410,ENTEROGERMINA 5ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00408,PRUEBA DE EMBARAZO EARLY TEST,Otros,imagenesmedimentos/genericas/otros.svg
prod-00393,APIXABAN 5MG GENFAR,Otros,imagenesmedimentos/genericas/otros.svg
prod-00389,JABON INTIMO INTIBON 210 G SAL,Cuidado personal,imagenesmedimentos/genericas/cuidado-personal.svg
prod-00388,PROTECTOR SOLAR NIVEA SUN SHIN,Cuidado personal,imagenesmedimentos/genericas/cuidado-personal.svg
prod-00387,PROTECTOR SOLAR NIVEA SUN SHIN,Cuidado personal,imagenesmedimentos/genericas/cuidado-personal.svg
prod-00386,CREMA NIVEA 30ML,Cuidado personal,imagenesmedimentos/genericas/cuidado-personal.svg
prod-00384,CREMA NIEA SOFT MILK 400ML,Cuidado personal,imagenesmedimentos/genericas/cuidado-personal.svg
prod-00375,AMLODIPINO 5MG LA SANTE,Otros,imagenesmedimentos/genericas/otros.svg
prod-00368,GASA ESTERIL SOBRE,Otros,imagenesmedimentos/genericas/otros.svg
prod-00365,REPELENTE OUT 120ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00364,PICAFIN ROLON 60ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00355,TENA SLIP L PAÑALES,Bebés,imagenesmedimentos/pañaleshuggies.jpg
prod-00352,DESODORANTE SPEED STICK SOBRE,Cuidado personal,imagenesmedimentos/desoderantegillette82gx2.png
prod-00350,DESODORANTE REXONA CLINICAL SO,Cuidado personal,imagenesmedimentos/desoderantegillette82gx2.png
prod-00342,GEL EGO EXTREME 25ML SOBRE,Otros,imagenesmedimentos/genericas/otros.svg
prod-00341,BALANCE CLINICAL WOMEN SOBRE,Otros,imagenesmedimentos/genericas/otros.svg
prod-00340,CREMA LUBRIDERM HUMECTACION DE,Cuidado personal,imagenesmedimentos/genericas/cuidado-personal.svg
prod-00334,TRAMADOL 100MG AMPOLLA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00333,METOCLOPRAMIDA 10MG AMPOLLA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00331,LINCOMICINA 2ML 1 AMPOLLA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00327,TORROX ETORICOXIB 90 MG 10 TAB,Otros,imagenesmedimentos/genericas/otros.svg
prod-00323,EQUIPO MACROGOTEO SUPREME,Otros,imagenesmedimentos/genericas/otros.svg
prod-00322,VICK VAPORUB 12GR,Otros,imagenesmedimentos/genericas/otros.svg
prod-00317,EYE ZUL SOLUCION OFTALMICA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00316,NIFEDIPINO BECLAZONE 30MG,Otros,imagenesmedimentos/genericas/otros.svg
prod-00310,TIAMINA 1GR AMPOLLA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00309,PASEDOL 50 MG,Otros,imagenesmedimentos/genericas/otros.svg
prod-00306,"ZOPICLONA 7,5MG SANFER",Otros,imagenesmedimentos/genericas/otros.svg
prod-00303,SINOVUL 21 TABLETAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00302,SILDENAFIL 50MG AG,Otros,imagenesmedimentos/genericas/otros.svg
prod-00300,LOSARTAN 50MG AG 30CAPSULAS,Adulto mayor,imagenesmedimentos/losartan50mg.png
prod-00299,IBUPROFENO 800MG AG,Antiinflamatorios,imagenesmedimentos/Ibuprofeno800mg.png
prod-00296,NAZIL OFTENO 15ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00294,MIELTERTOS JARABE 240ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00290,AMOXICILINA LA SANTE 500MG,Antibióticos,imagenesmedimentos/amoxicilina500mg.jpg
prod-00288,MIELTERTOS ZERO CON PROPOLEO,Otros,imagenesmedimentos/genericas/otros.svg
prod-00283,"TAMSULOSINA 0,4MG",Otros,imagenesmedimentos/genericas/otros.svg
prod-00281,PAX DIA NARANJA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00280,PAX NOCHE PANELA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00279,PAX NOCHE LIMON SOBRES,Otros,imagenesmedimentos/genericas/otros.svg
prod-00277,HIDROXIDO ALUMINIO - HIDROXIDO,Otros,imagenesmedimentos/genericas/otros.svg
prod-00276,LABIAL NIVEA CHERRY,Otros,imagenesmedimentos/genericas/otros.svg
prod-00275,LABIAL NIVEA STRAWBERRY,Otros,imagenesmedimentos/genericas/otros.svg
prod-00274,MESIGYNA AMPOLLA 1ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00271,DIPIRONA 1G AMPOLLA,Analgésicos,imagenesmedimentos/buscapnacompositum.jpg
prod-00270,CLINDAMIXINA 600MG AMPOLLA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00269,CEFTRIAXONA 1G AMPOLLA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00266,CLOBEGEN CREMA 20 G MK,Cuidado personal,imagenesmedimentos/genericas/cuidado-personal.svg
