id,nombre,precio,categoria,descripcion,imagen,stock,disponible,imagen_transparente
prod-00473,DESODORANTE NIVEA MIRACLE SWEE,15800,Cuidado personal,DESODORANTE NIVEA MIRACLE SWEE,assets/imagenesmedimentos/reales/prod-00473.png,2,true,false
prod-00174,DESODORANTE REXONA CLINICAL,24800,Cuidado personal,DESODORANTE REXONA CLINICAL CREMA DAMA 48G,assets/imagenesmedimentos/reales/prod-00174.jpg,3,true,false
prod-00175,DESODORANTE REXONA ROLON HOMBR,11400,Cuidado personal,DESODORANTE REXONA ROLON HOMBR,assets/imagenesmedimentos/reales/prod-00175.png,2,true,false
prod-00102,DICLOFENACO GEL TOPICO 1%,17300,Analgésicos y antiinflamatorios,DICLOFENACO GEL TOPICO 1%,assets/imagenesmedimentos/reales/prod-00102.jpg,2,true,false
prod-00044,DOLEX ACTIV GEL 10 CAPS,17500,Analgésicos y antiinflamatorios,DOLEX ACTIV GEL 10 CAPS,assets/imagenesmedimentos/reales/prod-00044.jpg,8,true,false
prod-00474,GEL LUBRICANTE DUO PURE 75ML,29200,Anticonceptivos y salud sexual,GEL LUBRICANTE DUO PURE 75ML,assets/imagenesmedimentos/reales/prod-00474.webp,1,true,false
prod-00885,GELILAB ADVANCE UVA PHARBIOLAB,78000,Cuidado personal,GELILAB ADVANCE UVA PHARBIOLAB,assets/imagenesmedimentos/reales/prod-00885.jpg,1,true,false
prod-00212,GELPIN FAST 4 TABLETAS,14200,Analgésicos y antiinflamatorios,GELPIN FAST 4 TABLETAS,assets/imagenesmedimentos/reales/prod-00212.jpg,2,true,false
prod-00298,HIDROCORTISONA CREMA 1% AG 15G,7600,Cuidado personal,HIDROCORTISONA CREMA 1% AG 15G,assets/imagenesmedimentos/reales/prod-00298.png,2,true,false
prod-00396,JABON ASEPXIA AZUFRE 100G,16300,Cuidado personal,JABON ASEPXIA AZUFRE 100G,assets/imagenesmedimentos/reales/prod-00396.jpg,1,true,false
prod-00397,JABON ASEPXIA BICARBONATO 100G,16300,Cuidado personal,JABON ASEPXIA BICARBONATO 100G,assets/imagenesmedimentos/reales/prod-00397.png,1,true,false
prod-00398,JABON ASEPXIA ESPONJA 80G,16300,Cuidado personal,JABON ASEPXIA ESPONJA 80G,assets/imagenesmedimentos/reales/prod-00398.webp,1,true,false
prod-00399,JABON ASEPXIA EXFOLIANTE 100G,16300,Cuidado personal,JABON ASEPXIA EXFOLIANTE 100G,assets/imagenesmedimentos/reales/prod-00399.png,14,true,false
prod-00658,JABON BABY DOVE 400ML HIPOALER,31200,Cuidado personal,JABON BABY DOVE 400ML HIPOALER,assets/imagenesmedimentos/reales/prod-00658.jpg,1,true,false
prod-00656,JABON DOVE REVIGORANTE 90G,7800,Cuidado del cabello,JABON DOVE REVIGORANTE 90G,assets/imagenesmedimentos/reales/prod-00656.jpg,3,true,false
prod-00479,JABON INTIMO MUJER CALENDULA,21200,Cuidado personal,JABON INTIMO MUJER CALENDULA 210G,assets/imagenesmedimentos/reales/prod-00479.webp,1,true,false
prod-00482,JABON INTIMO MUJER SALVIA Y CALENDULA 210G + VINAGRE DE MANZANA Y CALENDULA 55G,14200,Cuidado personal,JABON INTIMO MUJER SALVIA Y CALENDULA 210G + VINAGRE DE MANZANA Y CALENDULA 55G,assets/imagenesmedimentos/reales/prod-00482.jpg,1,true,false
prod-00416,JABON NIXODERM AZUFRE ALOE VER,12000,Cuidado personal,JABON NIXODERM AZUFRE ALOE VERA,assets/imagenesmedimentos/reales/prod-00416.jpg,1,true,false
prod-00418,JABON NIXODERM AZUFRE EXTRACTO,13200,Cuidado personal,JABON NIXODERM AZUFRE EXTRACTO DE ARROZ,assets/imagenesmedimentos/reales/prod-00418.png,1,true,false
prod-00488,JABON PALMOLIVE AVENA Y AZUCAR,4000,Cuidado personal,JABON PALMOLIVE AVENA Y AZUCAR,assets/imagenesmedimentos/reales/prod-00488.jpg,2,true,false
prod-00489,JABON PALMOLIVE SANDIA Y LYCHE,4000,Cuidado personal,JABON PALMOLIVE SANDIA Y LYCHE,assets/imagenesmedimentos/reales/prod-00489.jpg,1,true,false
prod-00346,JABON PROTEX HERBAL 110G,4100,Cuidado personal,JABON PROTEX HERBAL 110G,assets/imagenesmedimentos/reales/prod-00346.jpg,3,true,false
prod-00335,JABON SOHNSONS BABY 110G,5400,Cuidado personal,JABON SOHNSONS BABY 110G,assets/imagenesmedimentos/reales/prod-00335.jpg,1,true,false
prod-00330,KETOPROFENO GEL 2.5%,35000,Cuidado personal,KETOPROFENO GEL 2.5%,assets/imagenesmedimentos/reales/prod-00330.png,1,true,false
prod-00802,LASONIL ACTIVE GEL 30G,70000,Cuidado personal,LASONIL ACTIVE GEL 30G,assets/imagenesmedimentos/reales/prod-00802.png,1,true,false
prod-00566,NEOTRISONA CREMA 20G,13400,Cuidado personal,NEOTRISONA CREMA 20G,assets/imagenesmedimentos/reales/prod-00566.jpg,1,true,false
prod-00536,PROTECTOR NUDE SOLAR 80FPS 120,59000,Cuidado personal,PROTECTOR NUDE SOLAR 80FPS 120,assets/imagenesmedimentos/reales/prod-00536.jpg,1,true,false
prod-00537,PROTECTOR NUDE SOLAR 80FPS 40M,27000,Cuidado personal,PROTECTOR NUDE SOLAR 80FPS 40ML,assets/imagenesmedimentos/reales/prod-00537.png,1,true,false
prod-00596,PROTECTORES DE LACTANCIA 40 NOSOTRAS,19800,Cuidado personal,PROTECTORES DE LACTANCIA 40 NOSOTRAS,assets/imagenesmedimentos/reales/prod-00596.jpg,1,true,false
prod-00598,PROTECTORES DE LACTANCIA AVENT,32800,Cuidado personal,PROTECTORES DE LACTANCIA AVENT 24 UNIDADES,assets/imagenesmedimentos/reales/prod-00598.png,1,true,true
prod-00349,PROTECTORES NOSOTRAS X15,2200,Cuidado personal,PROTECTORES NOSOTRAS X15,assets/imagenesmedimentos/reales/prod-00349.jpg,2,true,false
prod-00694,SAVIDOL VITALFARMA GEL 90G,29400,Cuidado personal,SAVIDOL VITALFARMA GEL 90G,assets/imagenesmedimentos/reales/prod-00694.webp,2,true,false
prod-00170,SEDA DENTAL COLGATE TOTAL HILO 25MTS,13200,Cuidado personal,SEDA DENTAL COLGATE TOTAL HILO 25MTS,assets/imagenesmedimentos/reales/prod-00170.jpg,3,true,false
prod-00476,SHAMPOO ARRURRU MANZANILLA 400,26800,Cuidado del cabello,SHAMPOO ARRURRU MANZANILLA 400ML,assets/imagenesmedimentos/reales/prod-00476.png,2,true,false
prod-00651,SHAMPOO HEAD & SHOULDERS 375ML,24200,Cuidado del cabello,SHAMPOO HEAD & SHOULDERS 375ML,assets/imagenesmedimentos/reales/prod-00651.jpg,1,true,false
prod-00345,SHAMPOO HEAD & SHOULDERS SOBRE,1600,Cuidado del cabello,SHAMPOO HEAD & SHOULDERS SOBRE,assets/imagenesmedimentos/reales/prod-00345.webp,12,true,false
prod-00338,SHAMPOO JOHNSONS BABY GLICERIN,20000,Cuidado del cabello,SHAMPOO JOHNSONS BABY GLICERIN,assets/imagenesmedimentos/reales/prod-00338.jpg,1,true,false
prod-00336,SHAMPOO JOHNSONS BABY MANZANIL,21000,Cuidado del cabello,SHAMPOO JOHNSONS BABY MANZANIL,assets/imagenesmedimentos/reales/prod-00336.jpg,1,true,false
prod-00652,SHAMPOO PANTENE RESTAURA 400ML,25800,Cuidado del cabello,SHAMPOO PANTENE RESTAURACION 400ML,assets/imagenesmedimentos/reales/prod-00652.jpg,1,true,false
prod-00347,SHAMPOO PANTENE SOBRE COLAGENO,1600,Cuidado del cabello,SHAMPOO PANTENE SOBRE COLAGENO,assets/imagenesmedimentos/reales/prod-00347.jpg,12,true,false
prod-00789,SHAMPOO SAVITAL 510ML HIALURON,16200,Cuidado del cabello,SHAMPOO SAVITAL 510ML HIALURON,assets/imagenesmedimentos/reales/prod-00789.jpg,2,true,false
prod-00555,SHAMPOO SEDAL CERAMIDAS 340ML,17000,Cuidado del cabello,SHAMPOO SEDAL CERAMIDAS 340ML,assets/imagenesmedimentos/reales/prod-00555.webp,1,true,false
prod-00495,SHAMPOO TIO NACHO CONTROL CAS,16000,Cuidado del cabello,SHAMPOO TIO NACHO CONTROL CASPA 415ML,assets/imagenesmedimentos/reales/prod-00495.webp,1,true,false
prod-00230,SYSTANE GEL GOTAS 10 ML,76000,Oftálmico y ótico,SYSTANE GEL GOTAS 10 ML,assets/imagenesmedimentos/reales/prod-00230.png,1,true,false
prod-00875,TOALLAS DESMAQUILLANTES POMYS,7500,Snacks y bebidas,TOALLAS DESMAQUILLANTES POMYS,assets/imagenesmedimentos/reales/prod-00875.png,1,true,false
prod-00187,TOALLAS NOSOTRAS EXTRA PROTECC,14600,Salud femenina,TOALLAS NOSOTRAS EXTRA PROTECCION TELA SUAVE 24 UNIDADES,assets/imagenesmedimentos/reales/prod-00187.jpg,0,false,false
prod-00185,TOALLAS NOSOTRAS INVISIBLE CLA (26013.400),13400,Salud femenina,TOALLAS NOSOTRAS INVISIBLE CLA (26013.400),assets/imagenesmedimentos/reales/prod-00185.jpg,1,true,false
prod-00184,TOALLAS NOSOTRAS INVISIBLE CLA (2605.200),5200,Salud femenina,TOALLAS NOSOTRAS INVISIBLE CLA (2605.200),assets/imagenesmedimentos/reales/prod-00184.jpg,1,true,false
prod-00181,TOALLAS NOSOTRAS MATERNIDAD,18600,Salud femenina,TOALLAS NOSOTRAS MATERNIDAD,assets/imagenesmedimentos/reales/prod-00181.webp,1,true,false
prod-00183,TOALLAS NOSOTRAS PLUS CANAGEL,4600,Salud femenina,TOALLAS NOSOTRAS PLUS CANAGEL TELA SUAVE 0 UNIDADES,assets/imagenesmedimentos/reales/prod-00183.jpg,1,true,false
prod-00161,TRIGENTAX CREMA TOPICA 20G,31200,Cuidado personal,TRIGENTAX CREMA TOPICA 20G,assets/imagenesmedimentos/reales/prod-00161.png,2,true,true
prod-00615,VITALIS CREMA TOPICA BETAMETAS,13200,Cuidado personal,"VITALIS CREMA TOPICA BETAMETASONA 0,04%",assets/imagenesmedimentos/reales/prod-00615.jpg,3,true,false
prod-00362,YODORA CLASICO CREMA 12G,4500,Cuidado personal,YODORA CLASICO CREMA 12G,assets/imagenesmedimentos/reales/prod-00362.webp,1,true,false
prod-00696,ACEITE DE COCO 100ML EXTRA VIR,16800,Dermatológico y piel,ACEITE DE COCO 100ML EXTRA VIR,assets/imagenesmedimentos/reales/prod-00696.webp,1,true,false
prod-00235,ACICLOVIR 15G UNGUENTO AL 5%,14600,Dermatológico y piel,ACICLOVIR 15G UNGUENTO AL 5%,assets/imagenesmedimentos/reales/prod-00235.jpg,1,true,false
prod-00092,ACICLOVIR 5% UNGUENTO TOPICO,17000,Dermatológico y piel,ACICLOVIR 5% UNGUENTO TOPICO,assets/imagenesmedimentos/reales/prod-00092.png,4,true,false
prod-00096,ACICLOVIR 800 MG 10 TABLETAS LA SANTE,21200,Dermatológico y piel,ACICLOVIR 800 MG 10 TABLETAS LA SANTE,assets/imagenesmedimentos/reales/prod-00096.png,4,true,false
prod-00573,ACID MANTLE BABY 100G,43000,Maquillaje y cuidado facial/labial,ACID MANTLE BABY 100G,assets/imagenesmedimentos/reales/prod-00573.jpg,1,true,false
prod-00572,ACID MANTLE BABY 30G,14000,Maquillaje y cuidado facial/labial,ACID MANTLE BABY 30G,assets/imagenesmedimentos/reales/prod-00572.jpg,1,true,false
prod-00867,ACID MANTLE PRO B5 NOCTURNA,61000,Maquillaje y cuidado facial/labial,ACID MANTLE PRO B5 NOCTURNA,assets/imagenesmedimentos/reales/prod-00867.jpg,1,true,false
prod-00176,ACIDO FOLICO 1MG 60 TABLETAS,12400,Vitaminas y suplementos,ACIDO FOLICO 1MG 60 TABLETAS,assets/imagenesmedimentos/reales/prod-00176.jpg,3,true,false
prod-00791,ACONDICIONADOR SAVITAL 490ML FUSION PR,19200,Cuidado del cabello,ACONDICIONADOR SAVITAL 490ML FUSION PROTEINAS,assets/imagenesmedimentos/reales/prod-00791.jpg,1,true,false
prod-00783,ACONDICIONADOR SAVITAL SOBRE COMP HIAL,1000,Cuidado del cabello,ACONDICIONADOR SAVITAL SOBRE COMP HIAL,assets/imagenesmedimentos/reales/prod-00783.jpg,20,true,false
prod-00772,ACONDICIONADOR PANTENE CONTROL CAIDA,25000,Cuidado del cabello,ACONDICIONADOR PANTENE CONTROL CAIDA,assets/imagenesmedimentos/reales/prod-00772.webp,1,true,false
prod-00348,ACONDICIONADOR PANTENE SOBRE REPARACION,1600,Cuidado del cabello,ACONDICIONADOR PANTENE SOBRE REPARACION,assets/imagenesmedimentos/reales/prod-00348.jpg,12,true,false
prod-00556,ACONDICIONADOR SEDAL 340ML,17000,Cuidado del cabello,ACONDICIONADOR SEDAL 340ML CERAMIDAS,assets/imagenesmedimentos/reales/prod-00556.jpg,1,true,false
prod-00236,ACTIVA 21 GRAGEAS,6800,Anticonceptivos y salud sexual,ACTIVA 21 GRAGEAS,assets/imagenesmedimentos/reales/prod-00236.jpg,4,true,false
prod-00498,ADHESIVA COREGA SIN SABOR 20G,26400,Cuidado bucal,ADHESIVA COREGA SIN SABOR 20G,assets/imagenesmedimentos/reales/prod-00498.jpg,1,true,false
prod-00193,AGUA BRISA 600 ML,2000,Snacks y bebidas,AGUA BRISA 600 ML,assets/imagenesmedimentos/reales/prod-00193.jpg,69,true,false
prod-00650,AGUA MICELAR GARNIER 100ML,11400,Maquillaje y cuidado facial/labial,AGUA MICELAR GARNIER 100ML,assets/imagenesmedimentos/reales/prod-00650.png,1,true,false
prod-00265,ALBENDAZOL 200MG MK,4800,Antimicóticos y antiparasitarios,ALBENDAZOL 200MG MK,assets/imagenesmedimentos/reales/prod-00265.png,2,true,false
prod-00551,ALGODON MK POMOS BOLSA 40G,5500,Insumos y curación médica,ALGODON MK POMOS BOLSA 40G,assets/imagenesmedimentos/reales/prod-00551.jpg,2,true,false
prod-00464,AMLODIPINO 5MG - 10 TABL COASP,5600,Cardiovascular y metabólico,AMLODIPINO 5MG - 10 TABL COASP,assets/imagenesmedimentos/reales/prod-00464.jpg,4,true,false
prod-00465,AMLODIPINO 5MG GENFAR 10 TABLE,8200,Cardiovascular y metabólico,AMLODIPINO 5MG GENFAR 10 TABLE,assets/imagenesmedimentos/reales/prod-00465.webp,2,true,false
prod-00467,AMLODIPINO 5MG LAPROFF,3000,Cardiovascular y metabólico,AMLODIPINO 5MG LAPROFF,assets/imagenesmedimentos/reales/prod-00467.jpg,4,true,false
