"id","nombre","categoria","imagen_actual","imagen_real"
"prod-00394","TRAMADOL CLORHIDRATO ACETAMINO","Bebidas","imagenesmedimentos/genericas/productos/prod-00394.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00394"
"prod-00305","TRAZODONA CLORHIDRATO 50MG","Bebidas","imagenesmedimentos/genericas/productos/prod-00305.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00305"
"prod-00264","ACICLOVIR CREMA 5% MK 10G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00264.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00264"
"prod-00434","ACIDO FUSIDICO CREMA 2% LAPROF","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00434.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00434"
"prod-00087","ACIDO FUSIDICO CREMA AL 2%","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00087.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00087"
"prod-00148","BAYCUTEN CREMA 20G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00148.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00148"
"prod-00147","BAYCUTEN N CREMA 35G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00147.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00147"
"prod-00262","BENLIC CREMA TOPICA 20G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00262.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00262"
"prod-00263","BENLIC CREMA TOPICA 40G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00263.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00263"
"prod-00247","BETAMETASONA 0.1% CREMA 20G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00247.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00247"
"prod-00088","BETAMETASONA CREMA AL 0.05%","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00088.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00088"
"prod-00267","BLANKISIMA CREMA 60G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00267.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00267"
"prod-00165","CEPILLO COLGATE TRIPLE ACCION","Cuidado personal","imagenesmedimentos/colgatetripleaccion.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00165"
"prod-00395","CICATRICURE GEL 30G CICATRICES","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00395.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00395"
"prod-00249","CLOBETASOL PROPI CREMA AG","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00249.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00249"
"prod-00591","CLOBETASOL PROPINATO CREMA LAP","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00591.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00591"
"prod-00250","CLOTRIMAZOL CREMA VAGIN 1% AG","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00250.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00250"
"prod-00902","CREMA #4 MEDICADA 30G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00902.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00902"
"prod-00597","CREMA #4 NATURAL 20G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00597.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00597"
"prod-00363","CREMA #4 ORIGINAL 20G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00363.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00363"
"prod-00588","CREMA CALENDULA 30G CHENIER","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00588.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00588"
